seed,split,case_id,contact_overlap_nm,mode,temperature_rise_relative_l2,potential_relative_l2,joint_field_score,terminal_current_relative_error,predicted_terminal_current_A,reference_terminal_current_A,hotspot_coordinate_error_width_fraction,true_fixed_point_defect,sigma_defect,terminal_electrical_heat_ledger_error,electrical_heat_sink_ledger_error,energy_ledger_error,projection_count,main_linear_solve_count,diagnostic_projection_count,diagnostic_linear_solve_count,diagnostic_included_in_timing,median_wall_time_s,timing_repeats,finite,practical_case_pass,historical_pr39_metrics_modified
baseline,train,heating_high_nominal,20.0,A1,0.00962180078437734,0.0004349408061352858,0.005028370795256313,0.009599354280597844,0.0032936970167924203,0.0033256208293361536,0.2,0.00866695583833637,0.0008995111341207109,0.0,3.5111982414342176e-15,3.5111982414342176e-15,1,2,1,2,False,nan,0,True,False,False
baseline,train,heating_high_nominal,20.0,A2,0.0009779228991533956,3.050440030822766e-05,0.0005042136497308117,0.0009742407723482615,0.0033223808739308437,0.0033256208293361536,0.2,0.000879667076134093,9.12983479003369e-05,6.961768449802025e-16,5.3953705485965445e-15,5.3953705485965445e-15,2,4,1,2,False,nan,0,True,False,False
baseline,train,heating_high_nominal,20.0,R0,0.24972803416998915,0.0009801458912734018,0.12535409003063128,0.025202965579036306,0.0032418053220454684,0.0033256208293361536,0.5882176467941096,0.23067966691133926,0.023628736150729253,7.134804236721844e-16,0.22664343054200217,0.22664343054200217,0,1,1,2,False,nan,0,True,False,False
baseline,train,heating_high_nominal,20.0,R1,0.02547040498163082,0.0009801458912734018,0.01322527543645211,0.025202965579036306,0.0032418053220454684,0.0033256208293361536,0.5882176467941096,0.022973050867373813,0.0023812455644623247,7.134804236721844e-16,3.745772224278956e-15,3.745772224278956e-15,1,2,1,2,False,nan,0,True,False,False
baseline,train,heating_high_nominal,20.0,R2,0.002575219669728194,4.5621270408395486e-05,0.0013104204700682947,0.002560561630337549,0.003317105372243504,0.0033256208293361536,0.5882176467941096,0.002315098137461992,0.0002403202042440329,5.229630299032488e-16,4.532346259161473e-15,4.532346259161473e-15,2,4,1,2,False,nan,0,True,False,False
20260809,train,heating_high_nominal,20.0,N0,0.0013807516721998211,2.380352677113329e-05,0.0007022775994854772,2.18209417312306e-06,0.0033256280861539873,0.0033256208293361536,0.4,0.0013667182246723535,0.00014190362160126983,6.954970834729247e-16,1.7663576201838142e-05,1.7663576201838142e-05,0,1,1,2,False,nan,0,True,False,False
20260809,train,heating_high_nominal,20.0,N1,0.00010250894068552981,2.380352677113329e-05,6.315623372833155e-05,2.18209417312306e-06,0.0033256280861539873,0.0033256208293361536,0.4,9.763093977305159e-05,1.0141861082317677e-05,6.954970834729247e-16,4.520731042573994e-15,4.520731042573994e-15,1,2,1,2,False,nan,0,True,False,False
20260809,train,heating_high_nominal,20.0,N2,8.777494323985519e-06,1.4642341278113967e-06,5.120864225898458e-06,2.0892402103911026e-07,0.0033256215241382297,0.0033256208293361536,0.4,8.132781964028681e-06,8.440681871355802e-07,5.216238418550431e-16,4.346865348792008e-15,4.346865348792008e-15,2,4,1,2,False,nan,0,True,False,False
baseline,train,heating_low_localized-sink,20.0,A1,0.0006545121670449642,0.00012932011946703993,0.0003919161432560021,0.00037903402178410695,2.2531306096698517e-05,2.2522769200906582e-05,0.0,0.0006535599410663931,2.2258033280718247e-06,8.019968363369543e-16,1.7599820573383497e-12,1.7599820573383497e-12,1,2,1,2,False,nan,0,True,False,False
baseline,train,heating_low_localized-sink,20.0,A2,1.2548715426978412e-06,3.0761132439197654e-07,7.812414335449089e-07,1.2404314023477182e-06,2.2522797138856766e-05,2.2522769200906582e-05,0.0,1.2615959018686712e-06,4.293863379497784e-09,4.011499126126958e-16,1.6756031849804227e-12,1.6756031849804227e-12,2,4,1,2,False,nan,0,True,False,False
