seed,split,case_id,contact_overlap_nm,mode,temperature_rise_relative_l2,potential_relative_l2,joint_field_score,terminal_current_relative_error,predicted_terminal_current_A,reference_terminal_current_A,hotspot_coordinate_error_width_fraction,true_fixed_point_defect,sigma_defect,terminal_electrical_heat_ledger_error,electrical_heat_sink_ledger_error,energy_ledger_error,projection_count,main_linear_solve_count,diagnostic_projection_count,diagnostic_linear_solve_count,diagnostic_included_in_timing,median_wall_time_s,timing_repeats,finite,practical_case_pass,nonlinear_iteration_count,practical_gate_role
baseline,train,g010nm_cooling_low_localized-sink,10.0,COLD,1.3501129169545658e-12,1.903883936778086e-15,6.760084004456719e-13,3.943647776166285e-15,3.436546041960038e-05,3.436546041960052e-05,0.17999999999999997,1.2497964916182099e-08,5.891092205235741e-11,1.18309433284989e-15,1.2230271168717243e-08,1.2230271168717243e-08,39,79,1,2,False,0.21851385000627488,10,True,False,39,reference_baseline_nonvoting
baseline,train,g010nm_cooling_low_localized-sink,10.0,A1,0.0009694610588666557,0.00018631097143283548,0.0005778860151497456,0.0005352449459866643,3.438385435860661e-05,3.436546041960052e-05,0.17999999999999997,0.000967718345350627,4.57003367531233e-06,7.883076175650724e-15,1.2453946511498964e-12,1.2453946511498964e-12,1,2,1,2,False,0.00580864999210462,20,True,True,0,admission_metric
baseline,train,g010nm_cooling_low_localized-sink,10.0,A2,2.519594639581384e-06,6.743270362138522e-07,1.596960837897618e-06,2.4431617491886895e-06,3.436554437997891e-05,3.436546041960052e-05,0.17999999999999997,2.521805593378911e-06,1.1896571957792973e-08,2.4976374894395965e-15,1.2475041986727246e-12,1.2475041986727246e-12,2,4,1,2,False,0.011190850011189468,20,True,True,0,admission_metric
baseline,train,g010nm_cooling_low_localized-sink,10.0,R0,0.7547824753381088,0.00015061917175698423,0.3774665472549329,0.003500395508190601,3.4245167716310846e-05,3.436546041960052e-05,0.09999999999999999,0.7540076158772423,0.003543267403042099,2.638333728978213e-16,0.7861978952352766,0.7861978952352766,0,1,1,2,False,0.004255549996742047,20,True,False,0,admission_metric
baseline,train,g010nm_cooling_low_localized-sink,10.0,R1,0.003389589642848652,0.00015061917175698423,0.0017701044073028182,0.003500395508190601,3.4245167716310846e-05,3.436546041960052e-05,0.17999999999999997,0.0033734783509142157,1.593262996285228e-05,2.638333728978213e-16,1.2828897757156565e-12,1.2828897757156565e-12,1,2,1,2,False,0.005366200013668276,20,True,True,0,admission_metric
baseline,train,g010nm_cooling_low_localized-sink,10.0,R2,1.63023546906817e-05,3.244821615250921e-07,8.313418426103395e-06,1.5737804044605993e-05,3.436491958271853e-05,3.436546041960052e-05,0.17999999999999997,1.621962698067782e-05,7.661386733069448e-08,2.629139894332652e-16,1.2107189213401861e-12,1.2107189213401861e-12,2,4,1,2,False,0.010527950013056397,20,True,True,0,admission_metric
baseline,train,g010nm_cooling_low_nominal,10.0,COLD,1.2961876125948614e-12,1.7308724411697445e-15,6.489592425180156e-13,3.3501547354529495e-15,3.438542095011907e-05,3.438542095011919e-05,0.7810249675906656,2.5281394543087062e-08,1.3132877465089473e-10,1.1824075536892789e-15,2.308812475655938e-08,2.308812475655938e-08,30,61,1,2,False,0.17613859999983106,10,True,False,30,reference_baseline_nonvoting
baseline,train,g010nm_cooling_low_nominal,10.0,A1,4.735773371988428e-05,5.675176745108934e-06,2.6516455232496608e-05,4.5559759609942244e-05,3.438385435860661e-05,3.438542095011919e-05,0.7810249675906656,4.716319011108147e-05,2.449909352691173e-07,7.883076175650724e-15,1.4683543223178862e-12,1.4683543223178862e-12,1,2,1,2,False,0.006086549983592704,20,True,True,0,admission_metric
baseline,train,g010nm_cooling_low_nominal,10.0,A2,2.1614245835945751e-07,1.834110889976376e-08,1.1724178362961063e-07,2.3603792601152643e-07,3.438541283385574e-05,3.438542095011919e-05,0.7810249675906656,2.3949151992329443e-07,1.2440683152043244e-09,7.882718885215786e-16,1.2997289655239962e-12,1.2997289655239962e-12,2,4,1,2,False,0.01052529999287799,20,True,True,0,admission_metric
baseline,train,g010nm_cooling_low_nominal,10.0,R0,0.4540390479184672,0.0003818697789687583,0.227210458848718,0.001210557107702668,3.434379543438667e-05,3.438542095011919e-05,0.8062257748298549,0.45382055496097373,0.0023542249369472375,0.0,0.23146785983609802,0.23146785983609802,0,1,1,2,False,0.0041692999948281795,20,True,False,0,admission_metric
baseline,train,g010nm_cooling_low_nominal,10.0,R1,0.0019297050292394935,0.0003818697789687583,0.001155787404104126,0.001210557107702668,3.434379543438667e-05,3.438542095011919e-05,0.8200000000000001,0.0019232600700148563,9.990439169298974e-06,0.0,1.3090646947168184e-12,1.3090646947168184e-12,1,2,1,2,False,0.005321050004567951,20,True,True,0,admission_metric
baseline,train,g010nm_cooling_low_nominal,10.0,R2,9.242120132040582e-06,1.1897847939943206e-06,5.215952463017451e-06,6.270112873353764e-06,3.438520534964863e-05,3.438542095011919e-05,0.8200000000000001,9.220650483451532e-06,4.78974953142408e-08,1.9706916126076395e-15,1.2812123070766467e-12,1.2812123070766467e-12,2,4,1,2,False,0.0103771500143921,20,True,True,0,admission_metric
baseline,train,g010nm_cooling_near-transition_localized-sink,10.0,COLD,4.68264710196757e-14,7.377205317108176e-16,2.3782095775693257e-14,1.2191980203564193e-15,0.0006224924155618165,0.0006224924155618173,0.0,2.158221059672382e-08,1.2126346846642462e-09,1.5145317023061126e-16,1.4579373722284242e-08,1.4579373722284242e-08,39,79,1,2,False,0.21523699999670498,10,True,False,39,reference_baseline_nonvoting
baseline,train,g010nm_cooling_near-transition_localized-sink,10.0,A1,0.010667361473618641,0.0022129521120870183,0.006440156792852829,0.003595324070372088,0.0006247304775271107,0.0006224924155618173,0.0,0.010452701485392806,0.0005923065713438217,1.6600165749874503e-15,4.2556788558769176e-14,4.2556788558769176e-14,1,2,1,2,False,0.006232299987459555,20,True,True,0,admission_metric
