seed,mode,sample_id,context_id,protocol_id,branch_label,device_voltage_V,split,full_curve_test,headline_test,event_neighborhood,temperature_rise_relative_l2,potential_relative_l2,joint_field_score,terminal_current_relative_error,predicted_terminal_current_A,reference_terminal_current_A,mean_state_absolute_error,predicted_mean_state,reference_mean_state,hotspot_coordinate_error,true_fixed_point_defect,sigma_defect,terminal_electrical_heat_ledger_error,electrical_heat_sink_ledger_error,projection_count,main_linear_solve_count,diagnostic_projection_count,diagnostic_linear_solve_count,diagnostic_included_in_timing,finite,practical_complete_case_pass
0,R1,G1_heating_coarse_001,G1,G1_heating,heating,0.775,test_diagnostic,True,False,False,0.6433285225794984,0.00010327143392411895,0.3217158970067112,0.0029331602453366327,1.5474287999560555e-05,1.551981008953034e-05,5.319320007895903e-05,0.0031501395183423614,0.0032033327184213204,0.0,0.38602368329159664,0.000685149362963777,2.2601533349746283e-15,9.662155507016559e-12,1,2,1,2,False,True,False
0,R2,G1_heating_coarse_001,G1,G1_heating,heating,0.775,test_diagnostic,True,False,False,0.4188529236619774,6.722802037389566e-05,0.20946007584117565,0.0019118152700652237,1.5490139079612663e-05,1.551981008953034e-05,3.473806821708636e-05,0.003168594650204234,0.0032033327184213204,0.0,0.20089674205836847,0.0004463505028587204,1.5522653554663508e-15,9.95114984879783e-12,2,4,1,2,False,True,False
20260809,H0,G1_heating_coarse_001,G1,G1_heating,heating,0.775,test_diagnostic,True,False,False,0.9994220930397418,9.111516611336247e-05,0.4997566041029276,0.0029852202399411132,1.547348003833103e-05,1.551981008953034e-05,8.274946190800535e-05,0.003120583256513315,0.0032033327184213204,1.1439589045541112,0.9983434148331191,0.001063413957984936,7.063347971401336e-16,0.9989273513297331,0,1,1,2,False,True,False
20260809,H1,G1_heating_coarse_001,G1,G1_heating,heating,0.775,test_diagnostic,True,False,False,0.6506946400441794,9.111516611336247e-05,0.3253928776051464,0.0029852202399411132,1.547348003833103e-05,1.551981008953034e-05,5.412925765959026e-05,0.00314920346076173,0.0032033327184213204,0.0,0.3939359368944365,0.0006929839917080278,7.063347971401336e-16,1.0107792214034747e-11,1,2,1,2,False,True,False
20260809,H2,G1_heating_coarse_001,G1,G1_heating,heating,0.775,test_diagnostic,True,False,False,0.4236492064028747,5.933053213479303e-05,0.21185426846750474,0.0019457625636840842,1.5489612224062645e-05,1.551981008953034e-05,3.534982363420647e-05,0.003167982894787114,0.0032033327184213204,0.0,0.20412591400141236,0.00045145014334887297,1.4111983212785496e-16,1.0081318567549704e-11,2,4,1,2,False,True,False
20260809,S1,G1_heating_coarse_001,G1,G1_heating,heating,0.775,test_diagnostic,True,False,False,0.6496970183001123,9.114065955211935e-05,0.3248940794798322,0.0029804077231000473,1.5473554727678457e-05,1.551981008953034e-05,5.404252573488165e-05,0.0031492901926864388,0.0032033327184213204,0.0,0.3928889282909609,0.0006919232788766904,4.2379883263835784e-16,9.891182221224185e-12,1,2,1,2,False,True,False
20260809,S2,G1_heating_coarse_001,G1,G1_heating,heating,0.775,test_diagnostic,True,False,False,0.4229996948247528,5.9346824756794805e-05,0.2115295208247548,0.0019426226077111815,1.5489660955583034e-05,1.551981008953034e-05,3.529302742478948e-05,0.003168039690996531,0.0032033327184213204,0.0,0.20369394551263145,0.0004507588556614348,2.8223877631064827e-16,9.602892125193498e-12,2,4,1,2,False,True,False
20260809,G1,G1_heating_coarse_001,G1,G1_heating,heating,0.775,test_diagnostic,True,False,False,0.24427171367423792,6.094186463024053e-05,0.12216632776943408,0.0010826431015401948,1.5503007674199696e-05,1.551981008953034e-05,1.967790511105778e-05,0.0031836548133102626,0.0032033327184213204,0.1111111111111111,0.099639035746118,0.0002603582092282559,1.1279831747348367e-15,1.0213323655636579e-11,1,2,1,2,False,True,False
20260809,G2,G1_heating_coarse_001,G1,G1_heating,heating,0.775,test_diagnostic,True,False,False,0.1589972118323615,3.965280811369096e-05,0.0795184323202376,0.0007050873009147761,1.5508867268523603e-05,1.551981008953034e-05,1.2825384195494591e-05,0.003190507334225826,0.0032033327184213204,0.1111111111111111,0.06129244608192474,0.00016951871660363403,4.2283387411956004e-16,9.663727248377842e-12,2,4,1,2,False,True,False
0,A1,G1_heating_coarse_002,G1,G1_heating,heating,0.8,test_diagnostic,True,False,False,0.6511413365832596,9.685170125306079e-05,0.3256190941422563,0.0031839246212974886,1.5972589843339325e-05,1.6023607802744497e-05,5.780662017965555e-05,0.0031510515472122263,0.003208858167391882,0.0,0.39435729844386525,0.0007390213324095786,5.568192781134298e-15,9.839526948338697e-12,1,2,1,2,False,True,False
0,A2,G1_heating_coarse_002,G1,G1_heating,heating,0.8,test_diagnostic,True,False,False,0.42398602226333787,6.307386404218948e-05,0.21202454806369003,0.0020756565351685305,1.5990348296491753e-05,1.6023607802744497e-05,3.776307406545831e-05,0.0031710950933264235,0.003208858167391882,0.0,0.20431718026716436,0.0004815127331744999,1.3242878321795802e-16,9.471571433314794e-12,2,4,1,2,False,True,False
0,R1,G1_heating_coarse_002,G1,G1_heating,heating,0.8,test_diagnostic,True,False,False,0.6258079636061542,0.0001393454799639976,0.3129736545430591,0.002978005973034964,1.5975889402998355e-05,1.6023607802744497e-05,5.409736551253335e-05,0.0031547608018793485,0.003208858167391882,1.0243938285880987,0.36583823173393226,0.0007102934636714855,1.4580350090005955e-15,9.344944018596365e-12,1,2,1,2,False,True,False
0,R2,G1_heating_coarse_002,G1,G1_heating,heating,0.8,test_diagnostic,True,False,False,0.4074866837258319,9.067279803628749e-05,0.2037886782619341,0.0019413727127215335,1.5992500007796897e-05,1.6023607802744497e-05,3.5338958171434766e-05,0.003173519209220447,0.003208858167391882,0.0,0.19290896365452345,0.0004628112936217719,2.6482193116815387e-15,9.338150936851441e-12,2,4,1,2,False,True,False
20260809,H0,G1_heating_coarse_002,G1,G1_heating,heating,0.8,test_diagnostic,True,False,False,0.9991699958149615,9.694713447285077e-05,0.49963347147471715,0.0031810515582611503,1.597263588017461e-05,1.6023607802744497e-05,8.825551810950905e-05,0.0031206026492823728,0.003208858167391882,1.1439589045541112,0.9976238402687119,0.0011329311093522959,1.9886345472547657e-15,0.998913932454414,0,1,1,2,False,True,False
20260809,H1,G1_heating_coarse_002,G1,G1_heating,heating,0.8,test_diagnostic,True,False,False,0.6506008943621304,9.694713447285077e-05,0.32534892074830163,0.0031810515582611503,1.597263588017461e-05,1.6023607802744497e-05,5.775481303937511e-05,0.0031511033543525067,0.003208858167391882,0.0,0.3937893173936968,0.0007384090252994199,1.9886345472547657e-15,9.301506655692974e-12,1,2,1,2,False,True,False
20260809,H2,G1_heating_coarse_002,G1,G1_heating,heating,0.8,test_diagnostic,True,False,False,0.42363412174100673,6.313571751425997e-05,0.2118486287292605,0.0020737816320124444,1.5990378339204595e-05,1.6023607802744497e-05,3.7729138914491256e-05,0.0031711290284773905,0.003208858167391882,0.0,0.2040829778477476,0.00048111365253651964,0.0,9.058244182236056e-12,2,4,1,2,False,True,False
20260809,S1,G1_heating_coarse_002,G1,G1_heating,heating,0.8,test_diagnostic,True,False,False,0.6477786095334656,9.731349845063035e-05,0.3239379615159581,0.0031661320720537223,1.5972874944170218e-05,1.6023607802744497e-05,5.7485761135564646e-05,0.003151372406256317,0.003208858167391882,0.0,0.39083340400441724,0.0007352113441372367,6.628682612044818e-16,9.484053934009245e-12,1,2,1,2,False,True,False
20260809,S2,G1_heating_coarse_002,G1,G1_heating,heating,0.8,test_diagnostic,True,False,False,0.42179646144681404,6.337290388531091e-05,0.21092991717534967,0.0020640455304907534,1.5990534346676906e-05,1.6023607802744497e-05,3.755289965219708e-05,0.0031713052677396847,0.003208858167391882,0.0,0.20286211470760712,0.00047902951134105236,1.3242724240643148e-16,9.279441729903468e-12,2,4,1,2,False,True,False
20260809,G1,G1_heating_coarse_002,G1,G1_heating,heating,0.8,test_diagnostic,True,False,False,0.17636558553774653,5.958867117374552e-05,0.08821258710446014,0.000797277886386735,1.6010832534583235e-05,1.6023607802744497e-05,1.451919407132558e-05,0.0031943389733205562,0.003208858167391882,0.1111111111111111,0.06834017934123131,0.00020039074078450521,1.7193716020889813e-15,9.537618795495606e-12,1,2,1,2,False,True,False
20260809,G2,G1_heating_coarse_002,G1,G1_heating,heating,0.8,test_diagnostic,True,False,False,0.11479401769943597,3.876098098840993e-05,0.05741638934021219,0.0005192225125419768,1.601528798484117e-05,1.6023607802744497e-05,9.46148924666065e-06,0.003199396678145221,0.003208858167391882,0.1111111111111111,0.042857080974715314,0.00013046948533027505,2.6444511895634844e-16,9.429187384067037e-12,2,4,1,2,False,True,False
0,A1,G1_heating_coarse_003,G1,G1_heating,heating,0.825,test_diagnostic,True,False,False,0.6512140785598387,0.00010302943828593363,0.3256585539990623,0.0033867921741153263,1.6471733275943704e-05,1.6527709192091533e-05,6.157194545879097e-05,0.0031529997576122204,0.0032145717030710114,0.0,0.39438384187313696,0.0007861308952120577,3.98921118221629e-15,8.545762992253404e-12,1,2,1,2,False,True,False
0,A2,G1_heating_coarse_003,G1,G1_heating,heating,0.825,test_diagnostic,True,False,False,0.4240808890060667,6.710526447233887e-05,0.21207399713526953,0.002208324307372023,1.649121065013746e-05,1.6527709192091533e-05,4.023564497365566e-05,0.0031743360580973557,0.0032145717030710114,0.0,0.20434627109872766,0.0005122854790302052,1.1206405182284581e-15,8.765152071130454e-12,2,4,1,2,False,True,False
0,R1,G1_heating_coarse_003,G1,G1_heating,heating,0.825,test_diagnostic,True,False,False,0.5921586967223508,0.00021439814223789142,0.29618654743229433,0.0027051515403045787,1.648299923411284e-05,1.6527709192091533e-05,4.9250322078835205e-05,0.003165321380992176,0.0032145717030710114,1.0943175335329005,0.3176022837504266,0.000714859512938693,1.9932422989770194e-15,8.702869610264743e-12,1,2,1,2,False,True,False
