comparator_depth_m,depth_m,formal_case,frequency_state_space_relative_error,grid_level,impulse_integral_relative_error,impulse_step_derivative_relative_error,maximum_pole_real_per_s,minimum_capacity_J_m2K,minimum_conductance_matrix_eigenvalue_W_m2K,minimum_physical_conductance_W_m2K,minimum_real_admittance_relative_margin,passed,physical_depth_m,region,step_DC_relative_error,step_initial_relative_error,voting
3.2e-06,1.6e-06,False,1.2598632746331243e-14,fine,1.389253099597009e-16,1.7275579457406125e-14,-41420092.827504165,0.574612904671256,1261768184.788024,7.62939453125e-06,0.6872906013613209,True,1.6e-06,bare_vo2,0.0,1.388846091852987e-16,False
3.2e-06,1.6e-06,False,2.788061542584302e-14,coarse,1.1114024796776076e-15,6.093914633365266e-15,-10322645.68736826,1.149225809342512,1251489700.5752358,1.9073486328125e-06,0.688681659151421,True,3.2e-06,bare_vo2,0.0,1.1110768734823897e-15,False
3.2e-06,1.6e-06,False,1.30555623727519e-13,fine,2.5002892186388876e-15,1.130920838108599e-14,-10355007.215550328,0.574612904671256,627074287.7811147,3.814697265625e-06,0.6884030949434071,True,3.2e-06,bare_vo2,0.0,2.4999229653353768e-15,False
3.2e-06,1.6e-06,False,1.451003246006553e-14,coarse,0.0,4.976853945886612e-14,-41290772.43250944,0.9002268839849678,2518094937.0494285,3.814697265625e-06,0.5234064102070771,True,1.6e-06,electrode_covered_vo2,0.0,0.0,False
3.2e-06,1.6e-06,False,9.994649639326057e-14,fine,2.7342495435152505e-15,2.7584773448107414e-13,-41420092.827504165,0.4501134419924839,1261768184.788024,1.52587890625e-05,0.5233825377320878,True,1.6e-06,electrode_covered_vo2,0.0,2.733756806459307e-15,False
3.2e-06,1.6e-06,False,1.8931063486390274e-14,coarse,3.417811929394066e-16,5.786297035806379e-14,-10322645.68736826,0.9002268839849678,1251489700.5752358,1.9073486328125e-06,0.5234038559018288,True,3.2e-06,electrode_covered_vo2,0.0,3.4171960080741337e-16,False
3.2e-06,1.6e-06,False,4.849316545393468e-14,fine,1.1961263793440212e-15,2.856633164808845e-13,-10355007.215550328,0.4501134419924839,627074287.7811147,3.814697265625e-06,0.5233818964026411,True,3.2e-06,electrode_covered_vo2,0.0,1.1960186028259468e-15,False
6.4e-06,3.2e-06,False,7.411633407389902e-14,coarse,1.3892530995962342e-15,1.5384958593599006e-14,-41061159.43220046,0.5778234715566904,2502979401.151848,7.62939453125e-06,0.6876476570738648,True,3.2e-06,bare_vo2,0.0,1.388846091852212e-15,False
6.4e-06,3.2e-06,False,2.3497107264009357e-13,fine,2.361384262046521e-15,1.253979448591663e-13,-41189886.30207332,0.2889117357783452,1254148575.562957,1.52587890625e-05,0.6873082152009466,True,3.2e-06,bare_vo2,0.0,2.3610383561487603e-15,False
6.4e-06,3.2e-06,False,4.547099156969536e-14,coarse,8.334297395458308e-16,4.8017657951573273e-14,-10265032.835240584,0.5778234715566904,1250558160.3770065,1.9073486328125e-06,0.688767814799315,True,6.4e-06,bare_vo2,0.0,8.333076551113272e-16,False
6.4e-06,3.2e-06,False,5.314437119061757e-14,fine,5.555791285715907e-16,1.8513820182690543e-13,-10297403.38815919,0.2889117357783452,626601937.3046409,3.814697265625e-06,0.6884967783819818,True,6.4e-06,bare_vo2,0.0,5.555384367408848e-16,False
6.4e-06,3.2e-06,False,1.4957194357996846e-14,coarse,5.126717894088236e-16,1.3584888031392082e-13,-41061159.43220046,0.4526283860527408,2502979401.151848,7.62939453125e-06,0.5229311713848591,True,3.2e-06,electrode_covered_vo2,0.0,5.12579401210834e-16,False
6.4e-06,3.2e-06,False,5.84414490459653e-14,fine,3.417503940981011e-16,3.2234461261411014e-13,-41189886.30207332,0.2263141930263704,1254148575.562957,1.52587890625e-05,0.5229224244154577,True,3.2e-06,electrode_covered_vo2,0.0,3.417196008072227e-16,False
6.4e-06,3.2e-06,False,1.401661858774087e-14,coarse,0.0,1.5725388421885258e-13,-10265032.835240584,0.4526283860527408,1250558160.3770065,1.9073486328125e-06,0.5229290416490353,True,6.4e-06,electrode_covered_vo2,0.0,0.0,False
6.4e-06,3.2e-06,False,8.51359234350944e-14,fine,1.5378074854153924e-15,3.646161556226527e-13,-10297403.38815919,0.2263141930263704,626601937.3046409,7.62939453125e-06,0.5229218892843844,True,6.4e-06,electrode_covered_vo2,0.0,1.537738203632502e-15,False
1.28e-05,6.4e-06,False,6.902571820020544e-14,coarse,9.723346961357176e-16,2.1608825749750564e-13,-40945422.55451606,0.2897211233129429,2501116320.7567554,7.62939453125e-06,0.6876542193158329,True,6.4e-06,bare_vo2,0.0,9.721922642954633e-16,False
1.28e-05,6.4e-06,False,1.0154618260142498e-13,fine,4.1668434642822794e-16,5.616377469007745e-15,-41074543.03458171,0.14486056165647146,1253203874.6108148,1.52587890625e-05,0.6873193691782998,True,6.4e-06,bare_vo2,0.0,4.166538275551986e-16,False
1.28e-05,6.4e-06,False,1.1667172304336517e-14,coarse,1.388947821427426e-16,9.183049159981546e-14,-10236035.097015228,0.2897211233129429,1252608387.2714384,3.814697265625e-06,0.6888137542502693,True,1.28e-05,bare_vo2,0.0,1.388846091850662e-16,False
1.28e-05,6.4e-06,False,4.2007191640063005e-14,fine,1.3888969547762513e-16,2.086482055978554e-13,-10268552.10636667,0.14486056165647146,627631666.855029,7.62939453125e-06,0.6884420739252822,True,1.28e-05,bare_vo2,0.0,1.388846091850662e-16,False
