structure,geometry,transition_width,pulse,seed,finite_result,interface_bc_residual,current_continuity_error,energy_balance_error,max_delta_T,max_m,conductance_ratio,mean_abs_power
full_stack_with_contact_resistance,edge_hotspot,0.05,short_pulse,2026,True,0.0,0.0,35111111169.14408,180.0,0.5079129134307725,1.0000000000032736,8.307692293724427e-17
full_stack_with_contact_resistance,edge_hotspot,0.05,short_pulse,2027,True,0.0,0.0,35111111169.144295,180.0,0.5079129134307725,1.000000000003283,8.307692293724377e-17
full_stack_with_contact_resistance,edge_hotspot,0.05,ltp_ltd,2026,True,0.0,0.0,24223582685.43497,180.0,0.5079043945350195,1.0000000000032738,1.204166664643101e-16
full_stack_with_contact_resistance,edge_hotspot,0.05,ltp_ltd,2027,True,0.0,0.0,24223582685.435055,180.0,0.5079043945350195,1.0000000000032827,1.2041666646430967e-16
full_stack_with_thermal_boundary_resistance,uniform_crossbar,0.2,short_pulse,2026,True,0.0,0.0,35111111168.697495,180.0,0.4992618185904937,1.0000000000027596,8.307692293830093e-17
full_stack_with_thermal_boundary_resistance,uniform_crossbar,0.2,short_pulse,2027,True,0.0,0.0,35111111168.697685,180.0,0.4992618185904937,1.0000000000027678,8.307692293830048e-17
full_stack_with_thermal_boundary_resistance,uniform_crossbar,0.2,ltp_ltd,2026,True,0.0,0.0,24223582685.128284,180.0,0.4992618185902272,1.0000000000027596,1.2041666646583464e-16
full_stack_with_thermal_boundary_resistance,uniform_crossbar,0.2,ltp_ltd,2027,True,0.0,0.0,24223582685.12837,180.0,0.4992618185902272,1.0000000000027673,1.2041666646583424e-16
full_stack_with_thermal_boundary_resistance,uniform_crossbar,0.1,short_pulse,2026,True,0.0,0.0,35111111168.697495,180.0,0.49926181858403107,1.0000000000027596,8.307692293830093e-17
full_stack_with_thermal_boundary_resistance,uniform_crossbar,0.1,short_pulse,2027,True,0.0,0.0,35111111168.697685,180.0,0.49926181858403107,1.0000000000027678,8.307692293830048e-17
full_stack_with_thermal_boundary_resistance,uniform_crossbar,0.1,ltp_ltd,2026,True,0.0,0.0,24223582685.128284,180.0,0.49926181858403107,1.0000000000027596,1.2041666646583464e-16
full_stack_with_thermal_boundary_resistance,uniform_crossbar,0.1,ltp_ltd,2027,True,0.0,0.0,24223582685.12837,180.0,0.49926181858403107,1.0000000000027673,1.2041666646583424e-16
full_stack_with_thermal_boundary_resistance,uniform_crossbar,0.05,short_pulse,2026,True,0.0,0.0,35111111168.697495,180.0,0.49926181858403107,1.0000000000027596,8.307692293830093e-17
full_stack_with_thermal_boundary_resistance,uniform_crossbar,0.05,short_pulse,2027,True,0.0,0.0,35111111168.697685,180.0,0.49926181858403107,1.0000000000027678,8.307692293830048e-17
full_stack_with_thermal_boundary_resistance,uniform_crossbar,0.05,ltp_ltd,2026,True,0.0,0.0,24223582685.128284,180.0,0.49926181858403107,1.0000000000027596,1.2041666646583464e-16
full_stack_with_thermal_boundary_resistance,uniform_crossbar,0.05,ltp_ltd,2027,True,0.0,0.0,24223582685.12837,180.0,0.49926181858403107,1.0000000000027673,1.2041666646583424e-16
