transition_width,T_sw_delta_K,model,strategy,seed,finite_residual,state_residual_mse,stiffness_indicator,residual_median_proxy,uses_fourier_features,uses_continuation
2.0,0.4,fourier_feature_mlp,low_to_high_width_continuation,2027,True,0.02203233540058136,0.015659280121326447,0.02320672571659088,True,True
2.0,0.4,fourier_feature_mlp,low_to_high_width_continuation,2028,True,0.029345840215682983,0.015696590766310692,0.027732625603675842,True,True
2.0,1.0,vanilla_mlp,direct_stiff_residual,2026,True,0.013356630690395832,0.015608063898980618,0.02896469458937645,False,False
2.0,1.0,vanilla_mlp,direct_stiff_residual,2027,True,0.005752346012741327,0.015596696175634861,0.021349042654037476,False,False
2.0,1.0,vanilla_mlp,direct_stiff_residual,2028,True,0.031392380595207214,0.015432343818247318,0.04682472348213196,False,False
2.0,1.0,vanilla_mlp,low_to_high_width_continuation,2026,True,0.013356630690395832,0.015608063898980618,0.018971873447299004,False,True
2.0,1.0,vanilla_mlp,low_to_high_width_continuation,2027,True,0.005752346012741327,0.015596696175634861,0.013983622193336487,False,True
2.0,1.0,vanilla_mlp,low_to_high_width_continuation,2028,True,0.031392380595207214,0.015432343818247318,0.03067019209265709,False,True
2.0,1.0,fourier_feature_mlp,direct_stiff_residual,2026,True,0.030131874606013298,0.015842212364077568,0.043215639889240265,True,False
2.0,1.0,fourier_feature_mlp,direct_stiff_residual,2027,True,0.021586226299405098,0.01595623604953289,0.035289913415908813,True,False
2.0,1.0,fourier_feature_mlp,direct_stiff_residual,2028,True,0.0293740127235651,0.016127226874232292,0.04277116432785988,True,False
2.0,1.0,fourier_feature_mlp,low_to_high_width_continuation,2026,True,0.030131874606013298,0.015842212364077568,0.02830624207854271,True,True
2.0,1.0,fourier_feature_mlp,low_to_high_width_continuation,2027,True,0.021586226299405098,0.01595623604953289,0.023114891722798347,True,True
2.0,1.0,fourier_feature_mlp,low_to_high_width_continuation,2028,True,0.0293740127235651,0.016127226874232292,0.02801511064171791,True,True
2.0,2.0,vanilla_mlp,direct_stiff_residual,2026,True,0.01011525560170412,0.01559874415397644,0.025713998824357986,False,False
2.0,2.0,vanilla_mlp,direct_stiff_residual,2027,True,0.009609377942979336,0.015555142425000668,0.025164520367980003,False,False
2.0,2.0,vanilla_mlp,direct_stiff_residual,2028,True,0.06751551479101181,0.014905450865626335,0.0824209675192833,False,False
2.0,2.0,vanilla_mlp,low_to_high_width_continuation,2026,True,0.01011525560170412,0.01559874415397644,0.016842668876051903,False,True
2.0,2.0,vanilla_mlp,low_to_high_width_continuation,2027,True,0.009609377942979336,0.015555142425000668,0.01648275926709175,False,True
2.0,2.0,vanilla_mlp,low_to_high_width_continuation,2028,True,0.06751551479101181,0.014905450865626335,0.053985729813575745,False,True
2.0,2.0,fourier_feature_mlp,direct_stiff_residual,2026,True,0.030511289834976196,0.016536084935069084,0.044224534183740616,True,False
2.0,2.0,fourier_feature_mlp,direct_stiff_residual,2027,True,0.02102520316839218,0.0170358344912529,0.03577737510204315,True,False
2.0,2.0,fourier_feature_mlp,direct_stiff_residual,2028,True,0.029854537919163704,0.017637012526392937,0.04464205726981163,True,False
2.0,2.0,fourier_feature_mlp,low_to_high_width_continuation,2026,True,0.030511289834976196,0.016536084935069084,0.02896706946194172,True,True
2.0,2.0,fourier_feature_mlp,low_to_high_width_continuation,2027,True,0.02102520316839218,0.0170358344912529,0.02343417890369892,True,True
2.0,2.0,fourier_feature_mlp,low_to_high_width_continuation,2028,True,0.029854537919163704,0.017637012526392937,0.029240546748042107,True,True
1.0,0.4,vanilla_mlp,direct_stiff_residual,2026,True,0.015876969322562218,0.06211336702108383,0.0779903382062912,False,False
