geometry,transition_width,lateral_coupling,seed,finite_fields,finite_residual,final_mean_T,max_T,final_conductance,max_conductance,spatial_sigma_std,residual_rms
uniform_strip,0.2,0.0,2026,True,True,1.0270653954578473,1.08732660914054,13.274184093930035,13.274184093930035,0.6950158146149977,0.0
uniform_strip,0.2,0.0,2027,True,True,1.0266318851314995,1.0981247287280598,13.26192891787545,13.26192891787545,0.6822967784314774,0.0
uniform_strip,0.2,0.0,2028,True,True,1.0255448207697848,1.0904788665226466,13.231116971469008,13.231116971469008,0.6633331548644418,0.0
uniform_strip,0.2,0.25,2026,True,True,1.0270653954578473,1.0574723418197722,13.276352876530462,13.276352876530462,0.31902210079224275,0.0
uniform_strip,0.2,0.25,2027,True,True,1.0266318851314995,1.0651427467089705,13.263943793546183,13.263943793546183,0.3233414672126579,0.0
uniform_strip,0.2,0.25,2028,True,True,1.0255448207697848,1.0565636583528777,13.23293775527734,13.23293775527734,0.29437709919550015,0.0
uniform_strip,0.2,0.5,2026,True,True,1.0270653954578473,1.0491986465701653,13.276653460230705,13.276653460230705,0.22393760588452435,0.0
uniform_strip,0.2,0.5,2027,True,True,1.0266318851314997,1.0516433087923303,13.264232081565611,13.264232081565611,0.23273427299027272,0.0
uniform_strip,0.2,0.5,2028,True,True,1.0255448207697848,1.0458121075653375,13.233185685358404,13.233185685358404,0.20555828481142702,0.0
localized_hotspot,0.05,0.0,2026,True,True,0.6000405217957467,1.8339745729956354,3.189521026500179,3.189521026500179,6.344603378733535,0.0
localized_hotspot,0.05,0.0,2027,True,True,0.5995497893110325,1.9049589585860764,3.1814987888657127,3.1814987888657127,6.3377442937620785,0.0
localized_hotspot,0.05,0.0,2028,True,True,0.5988932759892089,1.8750294161633645,3.2023040767657265,3.2023040767657265,6.3747333336817205,0.0
localized_hotspot,0.05,0.25,2026,True,True,0.6000405217957467,1.7579123308152034,3.194242822166636,3.194242822166636,6.3338807695015875,0.0
localized_hotspot,0.05,0.25,2027,True,True,0.5995497893110325,1.7983886130046052,3.1834752328616185,3.1834752328616185,6.30740929717224,0.0
localized_hotspot,0.05,0.25,2028,True,True,0.5988932759892089,1.7826395991280082,3.183915238839684,3.183915238839684,6.316038697646462,0.0
localized_hotspot,0.05,0.5,2026,True,True,0.6000405217957467,1.702104156377311,3.1837092289704327,3.1837092289704327,6.29600369728407,0.0
localized_hotspot,0.05,0.5,2027,True,True,0.5995497893110325,1.722946919905218,3.170092572654457,3.170092572654457,6.2670371632354405,0.0
localized_hotspot,0.05,0.5,2028,True,True,0.5988932759892089,1.7133729357823415,3.166738864966115,3.166738864966115,6.266272250501096,0.0
localized_hotspot,0.1,0.0,2026,True,True,0.6000405217957467,1.8339745729956354,3.3952135481332526,3.3952135481332526,6.034664385675157,0.0
localized_hotspot,0.1,0.0,2027,True,True,0.5995497893110325,1.9049589585860764,3.3981067930750233,3.3981067930750233,6.041259155931699,0.0
localized_hotspot,0.1,0.0,2028,True,True,0.5988932759892089,1.8750294161633645,3.3955329650927295,3.3955329650927295,6.050712776252712,0.0
localized_hotspot,0.1,0.25,2026,True,True,0.6000405217957467,1.7579123308152034,3.4011230406613424,3.4011230406613424,6.001237257245555,0.0
localized_hotspot,0.1,0.25,2027,True,True,0.5995497893110325,1.7983886130046052,3.395976242206611,3.395976242206611,5.984556202787301,0.0
localized_hotspot,0.1,0.25,2028,True,True,0.5988932759892089,1.7826395991280082,3.388957005553017,3.388957005553017,5.987429796709111,0.0
localized_hotspot,0.1,0.5,2026,True,True,0.6000405217957467,1.702104156377311,3.3964385778890587,3.3964385778890587,5.944630490882341,0.0
localized_hotspot,0.1,0.5,2027,True,True,0.5995497893110325,1.722946919905218,3.386744191652035,3.386744191652035,5.921732665425245,0.0
localized_hotspot,0.1,0.5,2028,True,True,0.5988932759892089,1.7133729357823415,3.3793366479616314,3.3793366479616314,5.9205569409558185,0.0
